auc_roc,auc_pr,precision,recall,f1,brier,ece_10,latency_mean,latency_p50,latency_p95,latency_p99,throughput_eps,burn_rate_alerts,score_std,score_min,score_max,score_finite_frac,dataset,method,seed,threshold,n_test,uses_fallback,level_target_pct,is_natural,resample_seed,n_redraws,n_flows,achieved_train_prev,achieved_val_prev,achieved_test_prev,cell_wall_s,brier_raw,brier_iso,crc_alpha,crc_tau,elkan_tau,alert_rate,test_fpr,provenance
0.9373308064342526,0.4675546694695118,0.0,0.0,0.0,0.0618675159443853,0.0727430808374352,,,,,177.035856131962,184992,0.1185808619670378,0.0125786163522012,0.3193328854747787,1.0,cicids2017,bocpd_v1_iso_crc,47,0.3193328854747788,207841,False,10.0,False,47,0,1385597,0.0999023627794955,0.1014246604342784,0.0990276220764911,10760.8,0.1022871726728202,0.0618675159443853,0.01,0.3193328854747788,0.0909090909090909,0.0,0.0,sweep_cell
0.9357261678543058,0.4611190350595018,0.3857172358120412,0.999708057609965,0.556658854766388,0.0625257980247196,0.0743540627069031,4.866890543631674e-05,0.0,0.0,0.0,76.55195304857786,207575,0.1185548015687876,0.0205479452054794,0.3183759279942185,1.0,cicids2017,bocpd_v3_iso_elkan,11,0.0909090909090909,207841,False,10.0,False,11,0,1385597,0.0998961766831594,0.1015978714293275,0.0988832809695873,9462.4,0.1020840929904367,0.0625257980247196,0.01,0.3183759279942185,0.0909090909090909,0.2562872580482195,0.1747086054172962,sweep_cell
0.9374738343209258,0.4684031545310504,0.3860125965359526,0.9998057969607224,0.556981540334032,0.0623381580578543,0.0737639108717609,0.0,0.0,0.0,0.0,88.3955128005824,207552,0.1190247004350425,0.0188679245283018,0.317639101282202,1.0,cicids2017,bocpd_v3_iso_elkan,23,0.0909090909090909,207841,False,10.0,False,23,0,1385597,0.0998920526189354,0.1014006033516327,0.099099792629943,10017.4,0.1021470497687555,0.0623381580578543,0.01,0.3176391012822021,0.0909090909090909,0.2566769790368599,0.1749321740616521,sweep_cell
0.9373308064342526,0.4675546694695118,0.3863004955699053,0.999854241570304,0.5572887047417879,0.0618675159443853,0.0727430808374352,0.0,0.0,0.0,0.0,177.035856131962,207566,0.1185808619670378,0.0125786163522012,0.3193328854747787,1.0,cicids2017,bocpd_v3_iso_elkan,47,0.0909090909090909,207841,False,10.0,False,47,0,1385597,0.0999023627794955,0.1014246604342784,0.0990276220764911,10760.8,0.1022871726728202,0.0618675159443853,0.01,0.3193328854747788,0.0909090909090909,0.2563113148993702,0.1745870692463379,sweep_cell
0.9357244708622314,0.4499367809209417,0.4291489495402275,0.9968859478396264,0.6000029285578317,0.1020840929904367,0.1041566828118974,0.0002927686152044,0.0,0.0,0.0,76.55195304857786,207516,0.3891859146496932,8.386565697562796e-05,1.0,1.0,cicids2017,bocpd_v4_raw_elkan,11,0.0909090909090909,207841,False,10.0,False,11,0,1385597,0.0998961766831594,0.1015978714293275,0.0988832809695873,9462.4,0.1020840929904367,0.0625257980247196,0.01,0.3183759279942185,0.0909090909090909,0.2296996261565331,0.1455130840572591,sweep_cell
0.9349514882427936,0.446504319927219,0.4298032649644203,0.9970384036510171,0.6006698158737587,0.1021470497687555,0.1039016442861094,0.0003894080996884,0.0,0.0,0.0,88.3955128005824,207471,0.38904611415585,8.386565697562796e-05,1.0,1.0,cicids2017,bocpd_v4_raw_elkan,23,0.0909090909090909,207841,False,10.0,False,23,0,1385597,0.0998920526189354,0.1014006033516327,0.099099792629943,10017.4,0.1021470497687555,0.0623381580578543,0.01,0.3176391012822021,0.0909090909090909,0.2298872695955081,0.1454999893187498,sweep_cell
0.9347020214214828,0.4451991538032682,0.4295101178144683,0.9972305898357788,0.6004183182436484,0.1022871726728202,0.1043038577000752,0.0002922410014124,0.0,0.0,0.0,177.035856131962,207491,0.3893927972544466,2.7891405985100998e-15,1.0,1.0,cicids2017,bocpd_v4_raw_elkan,47,0.0909090909090909,207841,False,10.0,False,47,0,1385597,0.0999023627794955,0.1014246604342784,0.0990276220764911,10760.8,0.1022871726728202,0.0618675159443853,0.01,0.3193328854747788,0.0909090909090909,0.229920949187119,0.1455844578898744,sweep_cell
0.8594588722809909,0.2520156784252685,0.3192494255808016,0.9735305566368236,0.48082283956551,0.0857311016745114,0.1170689577480568,0.0058136645962732,0.0,0.0,0.0,2329.385749559435,207634,0.144038970254945,0.0,1.0,1.0,cicids2017,ecod_batch_ref,11,0.2760755877262607,207841,False,10.0,False,11,0,1385597,0.0998961766831594,0.1015978714293275,0.0988832809695873,3245.2,,,,,,,,sweep_cell
0.8590860923146247,0.2519932034938968,0.3200390506217691,0.9708695441083652,0.481391429947039,0.0858508270900659,0.1170642854316738,0.0060639196779163,0.0,0.0,0.0,3035.44015896238,207637,0.1439571301258227,0.0,1.0,1.0,cicids2017,ecod_batch_ref,23,0.276713574137587,207841,False,10.0,False,23,0,1385597,0.0998920526189354,0.1014006033516327,0.099099792629943,2609.3,,,,,,,,sweep_cell
0.8596425890501207,0.2525849442338456,0.3198540589844937,0.9711398309202216,0.4812153166492121,0.0857627128973408,0.1171942053968917,0.0064124869513346,0.0,0.0,0.0,2780.84153739109,207649,0.1440308370005286,0.0,1.0,1.0,cicids2017,ecod_batch_ref,47,0.276733858291951,207841,False,10.0,False,47,0,1385597,0.0999023627794955,0.1014246604342784,0.0990276220764911,2718.8,,,,,,,,sweep_cell
